time,generation,literals
73.40,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
73.50,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
73.60,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
73.70,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
73.80,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
73.90,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.00,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.10,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.20,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.30,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.40,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.50,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.60,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.70,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.80,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
74.90,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.00,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.10,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.20,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.30,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.40,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.50,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.60,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.70,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.80,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
75.90,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.00,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.10,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.20,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.30,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.40,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.50,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.60,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
76.70,1,[12, 1, 2, 13, 3, 5, 16, 6, 7, 8, 9, 10]
