time,conjugations
0.00,4
0.10,8
0.20,4
0.30,6
0.40,1
0.50,8
0.60,8
0.70,8
0.80,7
0.90,5
1.00,7
1.10,7
1.20,7
1.30,8
1.40,1
1.50,7
1.60,12
1.70,9
1.80,5
1.90,10
2.00,5
2.10,5
2.20,10
2.30,8
2.40,11
2.50,9
2.60,9
2.70,7
2.80,9
2.90,12
3.00,8
3.10,3
3.20,17
3.30,14
3.40,14
3.50,17
3.60,17
3.70,9
3.80,18
3.90,15
4.00,10
4.10,15
4.20,12
4.30,11
4.40,12
4.50,15
4.60,19
4.70,18
4.80,12
4.90,21
5.00,10
5.10,17
5.20,19
5.30,16
5.40,13
5.50,12
5.60,8
5.70,13
5.80,22
5.90,28
6.00,13
6.10,20
6.20,15
6.30,20
6.40,23
6.50,22
6.60,24
6.70,20
6.80,14
6.90,14
7.00,14
7.10,20
7.20,24
7.30,24
7.40,18
7.50,28
7.60,30
7.70,22
7.80,25
7.90,23
8.00,22
8.10,29
8.20,20
8.30,26
8.40,24
8.50,21
8.60,20
8.70,22
8.80,23
8.90,26
9.00,41
9.10,30
9.20,33
9.30,25
9.40,25
9.50,33
9.60,34
9.70,32
9.80,28
9.90,39
10.00,29
10.10,44
10.20,33
10.30,32
10.40,32
10.50,24
10.60,34
10.70,33
10.80,38
10.90,46
11.00,34
11.10,43
11.20,47
11.30,42
11.40,44
11.50,37
11.60,46
11.70,46
11.80,51
11.90,47
12.00,42
12.10,50
12.20,38
12.30,44
12.40,49
12.50,42
12.60,59
12.70,52
12.80,40
12.90,46
13.00,56
13.10,55
13.20,50
13.30,50
13.40,52
13.50,69
13.60,51
13.70,49
13.80,48
13.90,46
14.00,51
14.10,60
14.20,60
14.30,53
14.40,52
14.50,72
14.60,59
14.70,68
14.80,59
14.90,63
15.00,61
15.10,52
15.20,60
15.30,47
15.40,56
15.50,85
15.60,68
15.70,64
15.80,56
15.90,89
16.00,67
16.10,79
16.20,72
16.30,73
16.40,73
16.50,73
16.60,88
16.70,73
16.80,88
16.90,93
17.00,94
17.10,89
17.20,72
17.30,97
17.40,105
17.50,74
17.60,98
17.70,104
17.80,112
17.90,88
18.00,91
18.10,110
18.20,82
18.30,91
18.40,100
18.50,88
18.60,109
18.70,91
18.80,96
18.90,102
19.00,103
19.10,90
19.20,97
19.30,113
19.40,88
19.50,122
19.60,103
19.70,118
19.80,112
19.90,118
20.00,140
20.10,127
20.20,120
20.30,140
20.40,135
20.50,131
20.60,113
20.70,125
20.80,119
20.90,151
21.00,151
21.10,147
21.20,148
21.30,137
21.40,132
21.50,133
21.60,123
21.70,133
21.80,134
21.90,146
22.00,157
22.10,143
22.20,171
22.30,176
22.40,148
22.50,161
22.60,162
22.70,173
22.80,155
22.90,183
23.00,186
23.10,151
23.20,146
23.30,160
23.40,184
23.50,161
23.60,175
23.70,185
23.80,179
23.90,180
24.00,221
24.10,164
24.20,173
24.30,196
24.40,194
24.50,196
24.60,163
24.70,175
24.80,183
24.90,199
25.00,195
25.10,201
25.20,204
25.30,216
25.40,217
25.50,222
25.60,188
25.70,238
25.80,231
25.90,221
26.00,214
26.10,229
26.20,227
26.30,214
26.40,208
26.50,205
26.60,240
26.70,235
26.80,213
26.90,234
27.00,245
27.10,236
27.20,272
27.30,254
27.40,210
27.50,250
27.60,268
27.70,300
27.80,279
27.90,287
28.00,267
28.10,293
28.20,273
28.30,272
28.40,244
28.50,287
28.60,291
28.70,283
28.80,300
28.90,301
29.00,286
29.10,290
29.20,299
29.30,300
29.40,301
29.50,284
29.60,268
29.70,302
29.80,317
29.90,317
30.00,318
30.10,304
30.20,297
30.30,310
30.40,292
30.50,315
30.60,269
30.70,311
30.80,304
30.90,286
31.00,304
31.10,314
31.20,345
31.30,316
31.40,323
31.50,308
31.60,314
31.70,315
31.80,335
31.90,325
32.00,320
32.10,322
32.20,304
32.30,313
32.40,327
32.50,319
32.60,321
32.70,292
32.80,282
32.90,314
33.00,336
33.10,326
33.20,317
33.30,336
33.40,325
33.50,322
33.60,329
33.70,309
33.80,338
33.90,299
34.00,282
34.10,305
34.20,293
34.30,310
34.40,322
34.50,310
34.60,352
34.70,302
34.80,289
34.90,326
35.00,314
35.10,298
35.20,324
35.30,322
35.40,305
35.50,373
35.60,349
35.70,349
35.80,350
35.90,325
36.00,339
36.10,350
36.20,326
36.30,307
36.40,310
36.50,309
36.60,332
36.70,346
36.80,352
36.90,332
37.00,307
37.10,333
37.20,347
37.30,304
37.40,305
37.50,340
37.60,332
37.70,350
37.80,332
37.90,324
38.00,323
38.10,324
38.20,339
38.30,362
38.40,370
38.50,327
38.60,307
38.70,330
38.80,334
38.90,310
39.00,299
39.10,332
39.20,327
39.30,292
39.40,305
39.50,291
39.60,310
39.70,300
39.80,301
39.90,341
40.00,326
40.10,283
40.20,305
40.30,298
40.40,330
40.50,336
40.60,316
40.70,316
40.80,312
40.90,301
41.00,291
41.10,300
41.20,287
41.30,306
41.40,303
41.50,289
41.60,305
41.70,306
41.80,281
41.90,304
42.00,305
42.10,309
42.20,271
42.30,290
42.40,297
42.50,301
42.60,327
