time,conjugations
0.00,31
0.10,16
0.20,18
0.30,22
0.40,17
0.50,26
0.60,44
0.70,19
0.80,26
0.90,33
1.00,27
1.10,24
1.20,32
1.30,21
1.40,29
1.50,41
1.60,26
1.70,35
1.80,33
1.90,35
2.00,36
2.10,37
2.20,34
2.30,43
2.40,38
2.50,45
2.60,33
2.70,49
2.80,50
2.90,45
3.00,36
3.10,36
3.20,45
3.30,43
3.40,58
3.50,50
3.60,42
3.70,52
3.80,67
3.90,72
4.00,66
4.10,60
4.20,71
4.30,57
4.40,71
4.50,65
4.60,71
4.70,78
4.80,62
4.90,54
5.00,74
5.10,63
5.20,68
5.30,80
5.40,89
5.50,90
5.60,82
5.70,78
5.80,76
5.90,102
6.00,93
6.10,81
6.20,99
6.30,93
6.40,100
6.50,82
6.60,102
6.70,80
6.80,105
6.90,85
7.00,97
7.10,103
7.20,110
7.30,101
7.40,85
7.50,112
7.60,102
7.70,119
7.80,106
7.90,124
8.00,115
8.10,96
8.20,119
8.30,101
8.40,109
8.50,119
8.60,117
8.70,140
8.80,112
8.90,111
9.00,118
9.10,125
9.20,141
9.30,132
9.40,118
9.50,146
9.60,139
9.70,157
9.80,139
9.90,159
10.00,160
10.10,147
10.20,140
10.30,179
10.40,154
10.50,140
10.60,150
10.70,166
10.80,175
10.90,168
11.00,167
11.10,154
11.20,155
11.30,171
11.40,181
11.50,180
11.60,213
11.70,175
11.80,184
11.90,195
12.00,189
12.10,183
12.20,175
12.30,153
12.40,213
12.50,202
12.60,162
12.70,188
12.80,210
12.90,213
13.00,209
13.10,206
13.20,235
13.30,245
13.40,197
13.50,262
13.60,253
13.70,225
13.80,215
13.90,221
14.00,216
14.10,217
14.20,227
14.30,249
14.40,265
14.50,255
14.60,290
14.70,275
14.80,281
14.90,276
15.00,322
15.10,279
15.20,266
15.30,288
15.40,268
15.50,323
15.60,318
15.70,332
15.80,295
15.90,295
16.00,316
16.10,337
16.20,298
16.30,292
16.40,324
16.50,307
16.60,280
16.70,321
16.80,323
16.90,295
17.00,297
17.10,309
17.20,298
17.30,311
17.40,265
17.50,271
17.60,316
17.70,317
17.80,302
17.90,295
18.00,299
18.10,288
18.20,311
18.30,294
18.40,320
18.50,335
18.60,292
18.70,307
18.80,356
18.90,343
19.00,319
19.10,320
19.20,320
19.30,325
19.40,340
19.50,357
19.60,370
19.70,328
19.80,311
19.90,330
20.00,366
20.10,323
20.20,339
20.30,334
20.40,327
20.50,326
20.60,327
20.70,326
20.80,377
20.90,328
21.00,313
21.10,393
21.20,355
21.30,345
21.40,348
21.50,327
21.60,374
21.70,356
21.80,338
21.90,331
22.00,398
22.10,336
22.20,342
22.30,347
22.40,364
22.50,346
22.60,371
22.70,343
22.80,354
22.90,345
23.00,398
23.10,321
23.20,355
23.30,335
23.40,318
23.50,313
23.60,297
23.70,320
23.80,310
23.90,344
24.00,315
24.10,320
24.20,355
24.30,298
24.40,340
24.50,316
24.60,351
24.70,319
24.80,315
24.90,325
25.00,347
25.10,329
25.20,337
25.30,336
25.40,351
25.50,311
25.60,303
25.70,289
25.80,293
25.90,341
26.00,302
26.10,311
26.20,297
26.30,320
26.40,320
26.50,316
26.60,341
26.70,319
26.80,344
26.90,330
27.00,343
27.10,318
27.20,316
27.30,314
27.40,309
27.50,304
27.60,323
27.70,302
27.80,306
27.90,291
28.00,308
28.10,319
28.20,314
28.30,331
28.40,307
28.50,323
28.60,316
28.70,300
28.80,311
28.90,304
29.00,302
29.10,288
29.20,313
29.30,307
29.40,301
29.50,270
29.60,294
29.70,295
29.80,310
29.90,329
30.00,296
30.10,268
30.20,316
30.30,280
30.40,333
30.50,309
30.60,306
30.70,305
30.80,300
30.90,321
31.00,313
31.10,296
31.20,335
31.30,336
31.40,295
31.50,322
31.60,316
31.70,313
31.80,313
31.90,344
32.00,325
32.10,289
32.20,339
32.30,319
32.40,354
32.50,308
32.60,327
32.70,297
32.80,330
32.90,336
33.00,340
33.10,310
33.20,304
33.30,375
33.40,337
33.50,319
33.60,346
33.70,314
33.80,314
33.90,333
34.00,338
34.10,339
34.20,376
34.30,319
34.40,340
34.50,339
34.60,328
34.70,334
34.80,340
34.90,366
35.00,329
35.10,314
35.20,375
35.30,344
35.40,355
35.50,353
35.60,341
35.70,364
35.80,345
35.90,326
36.00,365
36.10,375
36.20,323
36.30,345
36.40,337
36.50,324
36.60,333
36.70,332
36.80,320
36.90,316
37.00,285
37.10,335
37.20,343
37.30,327
37.40,304
37.50,333
37.60,335
37.70,330
37.80,346
37.90,317
38.00,331
38.10,337
38.20,302
38.30,335
38.40,307
38.50,341
38.60,322
38.70,323
38.80,335
38.90,290
39.00,316
39.10,320
39.20,341
39.30,272
39.40,342
39.50,322
39.60,346
39.70,319
39.80,326
39.90,306
40.00,306
40.10,287
40.20,321
40.30,291
40.40,277
40.50,320
40.60,333
40.70,306
40.80,290
40.90,320
41.00,288
41.10,278
41.20,321
41.30,286
41.40,281
41.50,314
41.60,270
41.70,304
41.80,316
41.90,293
42.00,307
42.10,309
42.20,342
42.30,324
42.40,337
42.50,343
42.60,275
42.70,326
42.80,310
42.90,359
43.00,305
43.10,304
43.20,280
43.30,302
43.40,323
43.50,314
43.60,324
43.70,305
43.80,304
43.90,313
44.00,296
44.10,306
44.20,296
44.30,308
44.40,280
44.50,336
44.60,362
44.70,301
44.80,327
44.90,356
45.00,353
45.10,329
45.20,339
45.30,317
45.40,326
45.50,344
45.60,334
45.70,352
45.80,361
45.90,325
46.00,318
46.10,340
46.20,355
46.30,329
46.40,353
46.50,361
46.60,341
46.70,307
46.80,305
46.90,316
47.00,324
47.10,332
47.20,303
47.30,331
47.40,319
47.50,334
47.60,313
47.70,292
47.80,322
47.90,305
48.00,312
48.10,326
48.20,307
48.30,325
48.40,305
48.50,322
48.60,355
48.70,325
48.80,342
48.90,334
49.00,318
49.10,339
49.20,334
49.30,304
49.40,315
49.50,318
49.60,345
49.70,338
49.80,291
49.90,347
50.00,342
50.10,332
50.20,331
50.30,344
50.40,342
50.50,316
50.60,300
50.70,351
50.80,345
50.90,323
51.00,306
51.10,324
51.20,303
51.30,341
51.40,312
51.50,338
51.60,323
51.70,325
51.80,308
51.90,306
52.00,304
52.10,348
52.20,320
52.30,309
52.40,313
52.50,310
52.60,314
52.70,327
52.80,304
52.90,323
53.00,344
53.10,328
53.20,272
53.30,316
53.40,330
53.50,322
53.60,302
53.70,296
53.80,304
53.90,292
54.00,285
54.10,303
54.20,273
54.30,279
54.40,304
54.50,298
54.60,289
54.70,292
54.80,277
54.90,284
55.00,321
55.10,295
55.20,332
55.30,304
55.40,317
55.50,321
55.60,310
55.70,324
55.80,304
55.90,336
56.00,305
56.10,327
56.20,319
56.30,346
56.40,340
56.50,330
56.60,328
56.70,317
56.80,321
56.90,322
57.00,321
57.10,335
57.20,327
57.30,347
57.40,309
57.50,322
57.60,337
57.70,324
57.80,353
57.90,326
58.00,322
58.10,351
58.20,354
58.30,337
58.40,329
58.50,314
58.60,317
58.70,325
58.80,307
58.90,367
59.00,335
59.10,308
59.20,281
59.30,312
59.40,305
59.50,332
59.60,344
59.70,338
59.80,347
59.90,359
60.00,339
