time,conjugations
0.00,0
0.10,0
0.20,0
0.30,0
0.40,1
0.50,1
0.60,1
0.70,0
0.80,1
0.90,2
1.00,0
1.10,1
1.20,0
1.30,2
1.40,0
1.50,1
1.60,0
1.70,1
1.80,0
1.90,1
2.00,0
2.10,1
2.20,3
2.30,1
2.40,1
2.50,3
2.60,3
2.70,1
2.80,1
2.90,2
3.00,0
3.10,2
3.20,2
3.30,1
3.40,4
3.50,0
3.60,4
3.70,1
3.80,0
3.90,4
4.00,1
4.10,3
4.20,4
4.30,1
4.40,0
4.50,2
4.60,1
4.70,2
4.80,2
4.90,0
5.00,3
5.10,2
5.20,3
5.30,3
5.40,4
5.50,2
5.60,0
5.70,1
5.80,4
5.90,2
6.00,0
6.10,1
6.20,4
6.30,2
6.40,7
6.50,3
6.60,1
6.70,2
6.80,1
6.90,3
7.00,2
7.10,1
7.20,2
7.30,1
7.40,3
7.50,2
7.60,7
7.70,4
7.80,1
7.90,5
8.00,5
8.10,2
8.20,3
8.30,4
8.40,3
8.50,6
8.60,0
8.70,3
8.80,4
8.90,1
9.00,1
9.10,3
9.20,4
9.30,3
9.40,6
9.50,4
9.60,4
9.70,7
9.80,3
9.90,2
10.00,3
10.10,5
10.20,2
10.30,2
10.40,4
10.50,2
10.60,1
10.70,3
10.80,4
10.90,2
11.00,3
11.10,7
11.20,3
11.30,4
11.40,3
11.50,1
11.60,3
11.70,7
11.80,9
11.90,7
12.00,9
12.10,6
12.20,7
12.30,5
12.40,9
12.50,5
12.60,7
12.70,4
12.80,4
12.90,6
13.00,3
13.10,6
13.20,7
13.30,6
13.40,8
13.50,9
13.60,8
13.70,12
13.80,9
13.90,5
14.00,8
14.10,4
14.20,5
14.30,8
14.40,2
14.50,5
14.60,6
14.70,10
14.80,6
14.90,8
15.00,8
15.10,5
15.20,9
15.30,8
15.40,9
15.50,14
15.60,7
15.70,2
15.80,9
15.90,2
16.00,7
16.10,8
16.20,7
16.30,13
16.40,10
16.50,7
16.60,8
16.70,8
16.80,5
16.90,13
17.00,8
17.10,9
17.20,10
17.30,8
17.40,7
17.50,10
17.60,10
17.70,9
17.80,7
17.90,13
18.00,7
18.10,14
18.20,13
18.30,13
18.40,9
18.50,8
18.60,12
18.70,16
18.80,9
18.90,2
19.00,5
19.10,10
19.20,7
19.30,14
19.40,6
19.50,16
19.60,17
19.70,15
19.80,17
19.90,21
20.00,17
20.10,10
20.20,10
20.30,8
20.40,10
20.50,12
20.60,8
20.70,11
20.80,9
20.90,21
21.00,16
21.10,12
21.20,14
21.30,24
21.40,10
21.50,11
21.60,18
21.70,17
21.80,14
21.90,10
22.00,16
22.10,17
22.20,17
22.30,16
22.40,13
22.50,18
22.60,15
22.70,22
22.80,25
22.90,20
23.00,15
23.10,16
23.20,14
23.30,20
23.40,16
23.50,17
23.60,18
23.70,21
23.80,27
23.90,22
24.00,16
24.10,24
24.20,19
24.30,17
24.40,29
24.50,24
24.60,22
24.70,23
24.80,18
24.90,19
25.00,24
25.10,29
25.20,25
25.30,25
25.40,30
25.50,14
25.60,29
25.70,32
25.80,26
25.90,24
26.00,41
26.10,29
26.20,22
26.30,29
26.40,30
26.50,25
26.60,21
26.70,31
26.80,24
26.90,28
27.00,27
27.10,30
27.20,31
27.30,22
27.40,45
27.50,37
27.60,25
27.70,30
27.80,24
27.90,35
28.00,38
28.10,45
28.20,32
28.30,41
28.40,32
28.50,44
28.60,31
28.70,39
28.80,43
28.90,49
29.00,24
29.10,41
29.20,50
29.30,32
29.40,39
29.50,51
29.60,41
29.70,41
29.80,39
29.90,31
30.00,41
30.10,45
30.20,51
30.30,44
30.40,45
30.50,45
30.60,44
30.70,42
30.80,36
30.90,30
31.00,46
31.10,52
31.20,39
31.30,45
31.40,53
31.50,43
31.60,54
31.70,46
31.80,55
31.90,58
32.00,55
32.10,57
32.20,57
32.30,58
32.40,43
32.50,55
32.60,57
32.70,49
32.80,50
32.90,40
33.00,38
33.10,50
33.20,52
33.30,41
33.40,36
33.50,43
33.60,51
33.70,38
33.80,47
33.90,55
34.00,48
34.10,52
34.20,49
34.30,46
34.40,52
34.50,54
34.60,61
34.70,60
34.80,55
34.90,58
35.00,48
35.10,55
35.20,61
35.30,67
35.40,53
35.50,44
35.60,58
35.70,37
35.80,57
35.90,53
36.00,61
36.10,44
36.20,52
36.30,43
36.40,43
36.50,52
36.60,46
36.70,60
36.80,42
36.90,43
37.00,42
37.10,42
37.20,58
37.30,49
37.40,52
37.50,46
37.60,59
37.70,50
37.80,60
37.90,41
38.00,52
38.10,57
38.20,64
38.30,64
38.40,60
38.50,72
38.60,49
38.70,52
38.80,51
38.90,50
39.00,55
39.10,51
39.20,69
39.30,53
39.40,69
39.50,46
39.60,60
39.70,51
39.80,57
39.90,52
40.00,60
40.10,56
40.20,61
40.30,49
40.40,52
40.50,59
40.60,49
40.70,52
40.80,52
40.90,48
41.00,53
41.10,41
41.20,47
41.30,67
41.40,63
41.50,48
41.60,55
41.70,58
41.80,49
41.90,73
42.00,49
42.10,47
42.20,60
42.30,39
42.40,61
42.50,64
42.60,52
42.70,54
42.80,68
42.90,50
43.00,51
43.10,45
43.20,53
43.30,64
43.40,74
43.50,55
43.60,55
43.70,54
43.80,42
43.90,57
44.00,51
44.10,56
44.20,59
44.30,63
44.40,57
44.50,48
44.60,53
44.70,51
44.80,52
44.90,63
45.00,66
45.10,47
45.20,52
45.30,55
45.40,55
45.50,50
45.60,59
45.70,42
45.80,55
45.90,56
46.00,55
46.10,38
46.20,57
46.30,45
46.40,46
46.50,60
46.60,58
46.70,56
46.80,43
46.90,44
47.00,47
47.10,57
47.20,47
47.30,36
47.40,45
47.50,56
47.60,46
47.70,43
47.80,48
47.90,63
48.00,55
48.10,51
48.20,58
48.30,48
48.40,47
48.50,57
48.60,62
48.70,63
48.80,62
48.90,55
49.00,46
49.10,51
49.20,54
49.30,60
49.40,48
49.50,51
49.60,58
49.70,44
49.80,58
49.90,61
50.00,41
50.10,60
50.20,70
50.30,56
50.40,64
50.50,53
50.60,56
50.70,63
50.80,73
50.90,52
51.00,51
51.10,39
51.20,45
51.30,50
51.40,57
51.50,45
51.60,62
51.70,57
51.80,75
51.90,68
52.00,44
52.10,48
52.20,55
52.30,60
52.40,60
52.50,54
52.60,58
52.70,76
52.80,58
52.90,55
53.00,58
53.10,67
53.20,53
53.30,67
53.40,57
53.50,65
53.60,48
53.70,61
53.80,58
53.90,61
54.00,51
54.10,58
54.20,69
54.30,62
54.40,65
54.50,45
54.60,64
54.70,75
54.80,56
54.90,50
55.00,57
55.10,58
55.20,39
55.30,59
55.40,53
55.50,59
55.60,66
55.70,69
55.80,53
55.90,54
56.00,68
56.10,68
56.20,62
56.30,67
56.40,56
56.50,66
56.60,52
56.70,37
56.80,51
56.90,54
57.00,43
57.10,47
57.20,47
57.30,51
57.40,55
57.50,47
57.60,58
57.70,43
57.80,43
57.90,49
58.00,46
58.10,54
58.20,50
58.30,51
58.40,53
58.50,45
58.60,52
58.70,53
58.80,59
58.90,45
59.00,49
59.10,52
59.20,44
59.30,50
59.40,47
59.50,61
59.60,50
59.70,44
59.80,51
59.90,45
60.00,48
