time,conjugations
0.00,7
0.10,4
0.20,11
0.30,9
0.40,4
0.50,8
0.60,2
0.70,7
0.80,3
0.90,3
1.00,2
1.10,7
1.20,11
1.30,8
1.40,5
1.50,13
1.60,8
1.70,5
1.80,6
1.90,7
2.00,8
2.10,6
2.20,11
2.30,7
2.40,5
2.50,9
2.60,14
2.70,12
2.80,10
2.90,7
3.00,3
3.10,5
3.20,8
3.30,10
3.40,5
3.50,12
3.60,6
3.70,10
3.80,7
3.90,7
4.00,3
4.10,3
4.20,3
4.30,7
4.40,2
4.50,7
4.60,9
4.70,6
4.80,15
4.90,12
5.00,5
5.10,10
5.20,7
5.30,4
5.40,9
5.50,3
5.60,5
5.70,7
5.80,5
5.90,8
6.00,5
6.10,8
6.20,10
6.30,12
6.40,15
6.50,14
6.60,15
6.70,15
6.80,17
6.90,11
7.00,16
7.10,15
7.20,18
7.30,23
7.40,14
7.50,16
7.60,18
7.70,19
7.80,25
7.90,20
8.00,17
8.10,11
8.20,9
8.30,13
8.40,10
8.50,10
8.60,11
8.70,14
8.80,12
8.90,13
9.00,13
9.10,22
9.20,13
9.30,18
9.40,20
9.50,15
9.60,17
9.70,25
9.80,19
9.90,17
10.00,17
10.10,15
10.20,25
10.30,22
10.40,27
10.50,15
10.60,15
10.70,18
10.80,33
10.90,23
11.00,33
11.10,31
11.20,42
11.30,23
11.40,29
11.50,23
11.60,21
11.70,18
11.80,14
11.90,8
12.00,11
12.10,26
12.20,30
12.30,26
12.40,28
12.50,24
12.60,24
12.70,41
12.80,34
12.90,27
13.00,25
13.10,33
13.20,33
13.30,39
13.40,37
13.50,28
13.60,46
13.70,34
13.80,39
13.90,31
14.00,31
14.10,38
14.20,26
14.30,26
14.40,25
14.50,38
14.60,45
14.70,46
14.80,42
14.90,37
15.00,38
15.10,33
15.20,25
15.30,37
15.40,35
15.50,43
15.60,29
15.70,46
15.80,57
15.90,35
16.00,36
16.10,49
16.20,42
16.30,34
16.40,43
16.50,44
16.60,57
16.70,48
16.80,42
16.90,52
17.00,54
17.10,54
17.20,58
17.30,45
17.40,66
17.50,50
17.60,51
17.70,52
17.80,54
17.90,48
18.00,71
18.10,54
18.20,65
18.30,68
18.40,46
18.50,65
18.60,67
18.70,74
18.80,63
18.90,65
19.00,72
19.10,63
19.20,70
19.30,71
19.40,81
19.50,67
19.60,60
19.70,66
19.80,76
19.90,73
20.00,70
20.10,67
20.20,61
20.30,52
20.40,66
20.50,49
20.60,60
20.70,72
20.80,76
20.90,83
21.00,69
21.10,76
21.20,77
21.30,66
21.40,78
21.50,63
21.60,61
21.70,70
21.80,71
21.90,81
22.00,88
22.10,70
22.20,83
22.30,78
22.40,63
22.50,71
22.60,88
22.70,98
22.80,83
22.90,72
23.00,72
23.10,83
23.20,82
23.30,84
23.40,80
23.50,80
23.60,92
23.70,89
23.80,93
23.90,98
24.00,111
24.10,100
24.20,92
24.30,94
24.40,100
24.50,106
24.60,105
24.70,108
24.80,93
24.90,116
25.00,90
25.10,108
25.20,128
25.30,118
25.40,108
25.50,120
25.60,125
25.70,101
25.80,105
25.90,102
26.00,97
26.10,115
26.20,98
26.30,119
26.40,112
26.50,129
26.60,112
26.70,103
26.80,108
26.90,107
27.00,114
27.10,139
27.20,129
27.30,132
27.40,137
27.50,148
27.60,99
27.70,130
27.80,130
27.90,161
28.00,159
28.10,138
28.20,142
28.30,150
28.40,150
28.50,153
28.60,151
28.70,151
28.80,129
28.90,143
29.00,136
29.10,167
29.20,157
29.30,179
29.40,189
29.50,163
29.60,167
29.70,163
29.80,174
29.90,205
30.00,218
30.10,169
30.20,177
30.30,181
30.40,188
30.50,194
30.60,185
30.70,184
30.80,194
30.90,210
31.00,222
31.10,217
31.20,195
31.30,213
31.40,206
31.50,217
31.60,219
31.70,224
31.80,235
31.90,250
32.00,237
32.10,249
32.20,250
32.30,250
32.40,216
32.50,208
32.60,213
32.70,212
32.80,208
32.90,206
33.00,189
33.10,227
33.20,219
33.30,223
33.40,233
33.50,214
33.60,234
33.70,235
33.80,234
33.90,202
34.00,234
34.10,230
34.20,224
34.30,216
34.40,202
34.50,205
34.60,253
34.70,222
34.80,252
34.90,239
35.00,258
35.10,263
35.20,230
35.30,260
35.40,226
35.50,244
35.60,247
35.70,264
35.80,245
35.90,242
36.00,245
36.10,249
36.20,262
36.30,228
36.40,236
36.50,271
36.60,286
36.70,263
36.80,281
36.90,257
37.00,263
37.10,276
37.20,275
37.30,258
37.40,256
37.50,232
37.60,253
37.70,242
37.80,244
37.90,241
38.00,277
38.10,255
38.20,283
38.30,265
38.40,240
38.50,229
38.60,225
38.70,208
38.80,237
38.90,214
39.00,226
39.10,212
39.20,209
39.30,241
39.40,223
39.50,234
39.60,264
39.70,214
39.80,189
39.90,218
40.00,225
40.10,230
40.20,228
40.30,252
40.40,259
40.50,257
40.60,236
40.70,241
40.80,247
40.90,228
41.00,223
41.10,214
41.20,200
41.30,220
41.40,220
41.50,210
41.60,208
41.70,199
41.80,203
41.90,209
42.00,225
42.10,229
42.20,236
42.30,223
42.40,245
42.50,237
42.60,260
42.70,235
42.80,259
42.90,235
43.00,231
43.10,216
43.20,254
43.30,239
43.40,238
43.50,225
43.60,221
43.70,235
43.80,248
43.90,254
44.00,236
44.10,227
44.20,234
44.30,226
44.40,255
44.50,253
44.60,265
44.70,238
44.80,237
44.90,245
45.00,224
45.10,258
45.20,259
45.30,206
45.40,221
45.50,220
45.60,223
45.70,205
45.80,210
45.90,218
46.00,218
46.10,209
46.20,233
46.30,246
46.40,247
46.50,234
46.60,216
46.70,216
46.80,242
46.90,236
47.00,203
47.10,200
47.20,219
47.30,250
47.40,254
47.50,244
47.60,211
47.70,235
47.80,208
47.90,220
48.00,232
48.10,229
48.20,206
48.30,223
48.40,231
48.50,217
48.60,234
48.70,224
48.80,232
48.90,211
49.00,211
49.10,240
49.20,217
49.30,215
49.40,227
49.50,235
49.60,239
49.70,238
49.80,236
49.90,233
50.00,223
50.10,224
50.20,260
50.30,250
50.40,252
50.50,255
50.60,246
50.70,220
50.80,207
50.90,216
51.00,268
51.10,241
51.20,235
51.30,244
51.40,241
51.50,227
51.60,260
51.70,245
51.80,249
51.90,266
52.00,245
52.10,262
52.20,238
52.30,242
52.40,261
52.50,232
52.60,231
52.70,250
52.80,240
52.90,254
53.00,246
53.10,274
53.20,263
53.30,265
53.40,246
53.50,241
53.60,244
53.70,262
53.80,244
53.90,257
54.00,261
54.10,252
54.20,239
54.30,245
54.40,219
54.50,217
54.60,232
54.70,219
54.80,221
54.90,230
55.00,272
55.10,245
55.20,248
55.30,245
55.40,269
55.50,241
55.60,246
55.70,259
55.80,265
55.90,240
56.00,234
56.10,250
56.20,259
56.30,221
56.40,238
56.50,232
56.60,214
56.70,220
56.80,234
56.90,225
57.00,233
57.10,251
57.20,222
57.30,220
57.40,216
57.50,225
57.60,227
57.70,244
57.80,255
57.90,250
58.00,227
58.10,258
58.20,256
58.30,239
58.40,240
58.50,221
58.60,229
58.70,206
58.80,213
58.90,241
59.00,225
59.10,243
59.20,256
59.30,227
59.40,241
59.50,261
59.60,233
59.70,241
59.80,259
59.90,235
60.00,251
