time,conjugations
0.00,200
0.10,205
0.20,219
0.30,215
0.40,240
0.50,217
0.60,226
0.70,227
0.80,243
0.90,247
1.00,237
1.10,273
1.20,257
1.30,256
1.40,248
1.50,258
1.60,254
1.70,258
1.80,307
1.90,294
2.00,283
2.10,284
2.20,302
2.30,292
2.40,353
2.50,367
2.60,371
2.70,370
2.80,365
2.90,338
3.00,360
3.10,366
3.20,369
3.30,353
3.40,354
3.50,373
3.60,393
3.70,446
3.80,426
3.90,442
4.00,446
4.10,495
4.20,471
4.30,481
4.40,469
4.50,489
4.60,498
4.70,516
4.80,512
4.90,513
5.00,511
5.10,552
5.20,506
5.30,533
5.40,541
5.50,568
5.60,599
5.70,628
5.80,562
5.90,545
6.00,577
6.10,593
6.20,589
6.30,638
6.40,666
6.50,653
6.60,641
6.70,654
6.80,668
6.90,663
7.00,634
7.10,688
7.20,665
7.30,667
7.40,750
7.50,720
7.60,770
7.70,763
7.80,726
7.90,695
8.00,733
8.10,739
8.20,743
8.30,744
8.40,764
8.50,766
8.60,789
8.70,816
8.80,763
8.90,836
9.00,808
9.10,797
9.20,793
9.30,804
9.40,861
9.50,843
9.60,840
9.70,889
9.80,904
9.90,859
10.00,872
10.10,878
10.20,881
10.30,948
10.40,890
10.50,907
10.60,938
10.70,999
10.80,964
10.90,1021
11.00,964
11.10,1012
11.20,1019
11.30,962
11.40,1008
11.50,1032
11.60,1070
11.70,1050
11.80,1084
11.90,1084
12.00,1118
12.10,1138
12.20,1177
12.30,1163
12.40,1187
12.50,1201
12.60,1233
12.70,1202
12.80,1230
12.90,1216
13.00,1270
13.10,1269
13.20,1275
13.30,1265
13.40,1258
13.50,1359
13.60,1327
13.70,1374
13.80,1356
13.90,1337
14.00,1435
14.10,1394
14.20,1400
14.30,1384
14.40,1473
14.50,1462
14.60,1414
14.70,1431
14.80,1473
14.90,1493
15.00,1562
15.10,1579
15.20,1654
15.30,1625
15.40,1652
15.50,1622
15.60,1627
15.70,1616
15.80,1709
15.90,1637
16.00,1668
16.10,1659
16.20,1610
16.30,1639
16.40,1680
16.50,1692
16.60,1743
16.70,1727
16.80,1739
16.90,1717
17.00,1717
17.10,1711
17.20,1771
17.30,1738
17.40,1777
17.50,1759
17.60,1744
17.70,1746
17.80,1785
17.90,1736
18.00,1783
18.10,1773
18.20,1774
18.30,1726
18.40,1728
18.50,1763
18.60,1723
18.70,1763
18.80,1807
18.90,1749
19.00,1781
19.10,1799
19.20,1777
19.30,1814
19.40,1784
19.50,1755
19.60,1811
19.70,1829
19.80,1803
19.90,1856
20.00,1876
20.10,1838
20.20,1866
20.30,1869
20.40,1833
20.50,1810
20.60,1807
