time,conjugations
0.00,2
0.10,0
0.20,1
0.30,2
0.40,2
0.50,1
0.60,1
0.70,1
0.80,1
0.90,0
1.00,0
1.10,0
1.20,3
1.30,0
1.40,0
1.50,0
1.60,2
1.70,0
1.80,1
1.90,1
2.00,2
2.10,2
2.20,0
2.30,2
2.40,2
2.50,1
2.60,2
2.70,2
2.80,3
2.90,0
3.00,3
3.10,1
3.20,1
3.30,0
3.40,1
3.50,2
3.60,4
3.70,4
3.80,1
3.90,1
4.00,3
4.10,3
4.20,3
4.30,4
4.40,2
4.50,1
4.60,3
4.70,0
4.80,3
4.90,2
5.00,3
5.10,3
5.20,1
5.30,3
5.40,3
5.50,2
5.60,1
5.70,0
5.80,0
5.90,1
6.00,6
6.10,3
6.20,2
6.30,2
6.40,2
6.50,3
6.60,1
6.70,2
6.80,0
6.90,4
7.00,4
7.10,5
7.20,2
7.30,1
7.40,4
7.50,2
7.60,5
7.70,1
7.80,3
7.90,2
8.00,7
8.10,2
8.20,4
8.30,3
8.40,1
8.50,8
8.60,2
8.70,6
8.80,3
8.90,2
9.00,2
9.10,5
9.20,6
9.30,2
9.40,4
9.50,1
9.60,1
9.70,7
9.80,4
9.90,9
10.00,5
10.10,6
10.20,3
10.30,3
10.40,3
10.50,10
10.60,1
10.70,1
10.80,7
10.90,3
11.00,2
11.10,4
11.20,1
11.30,3
11.40,6
11.50,3
11.60,7
11.70,2
11.80,3
11.90,3
12.00,4
12.10,4
12.20,7
12.30,3
12.40,8
12.50,4
12.60,5
12.70,2
12.80,4
12.90,5
13.00,6
13.10,5
13.20,7
13.30,9
13.40,7
13.50,4
13.60,5
13.70,6
13.80,1
13.90,4
14.00,5
14.10,8
14.20,9
14.30,8
14.40,7
14.50,7
14.60,11
14.70,8
14.80,11
14.90,6
15.00,8
15.10,7
15.20,2
15.30,14
15.40,6
15.50,7
15.60,9
15.70,15
15.80,4
15.90,5
16.00,4
16.10,13
16.20,10
16.30,8
16.40,17
16.50,11
16.60,12
16.70,6
16.80,9
16.90,8
17.00,9
17.10,5
17.20,13
17.30,4
17.40,13
17.50,10
17.60,4
17.70,7
17.80,8
17.90,11
18.00,8
18.10,15
18.20,8
18.30,5
18.40,10
18.50,12
18.60,6
18.70,10
18.80,11
18.90,8
19.00,9
19.10,11
19.20,5
19.30,17
19.40,15
19.50,15
19.60,14
19.70,6
19.80,13
19.90,12
20.00,12
20.10,7
20.20,7
20.30,13
20.40,13
20.50,13
20.60,12
20.70,4
20.80,12
20.90,18
21.00,12
21.10,16
21.20,22
21.30,17
21.40,17
21.50,17
21.60,17
21.70,16
21.80,12
21.90,14
22.00,7
22.10,18
22.20,16
22.30,19
22.40,16
22.50,15
22.60,13
22.70,22
22.80,14
22.90,17
23.00,16
23.10,24
23.20,15
23.30,17
23.40,18
23.50,26
23.60,23
23.70,19
23.80,18
23.90,20
24.00,16
24.10,16
24.20,21
24.30,24
24.40,23
24.50,12
24.60,23
24.70,20
24.80,16
24.90,17
25.00,16
25.10,22
25.20,20
25.30,19
25.40,25
25.50,24
25.60,28
25.70,29
25.80,23
25.90,26
26.00,26
26.10,29
26.20,25
26.30,24
26.40,25
26.50,24
26.60,35
26.70,30
26.80,29
26.90,20
27.00,18
27.10,43
27.20,28
27.30,18
27.40,29
27.50,29
27.60,27
27.70,23
27.80,33
27.90,39
28.00,36
28.10,39
28.20,29
28.30,43
28.40,37
28.50,41
28.60,29
28.70,36
28.80,38
28.90,43
29.00,44
29.10,39
29.20,36
29.30,49
29.40,53
29.50,45
29.60,51
29.70,44
29.80,56
29.90,49
30.00,46
30.10,45
30.20,45
30.30,56
30.40,48
30.50,54
30.60,43
30.70,49
30.80,36
30.90,43
31.00,46
31.10,61
31.20,60
31.30,53
31.40,43
31.50,45
31.60,47
31.70,48
31.80,46
31.90,56
32.00,56
32.10,57
32.20,58
32.30,48
32.40,53
32.50,53
32.60,46
32.70,37
32.80,53
32.90,49
33.00,48
33.10,58
33.20,43
33.30,44
33.40,39
33.50,63
33.60,49
33.70,48
33.80,51
33.90,58
34.00,51
34.10,37
34.20,48
34.30,40
34.40,47
34.50,55
34.60,42
34.70,51
34.80,38
34.90,46
35.00,42
35.10,54
35.20,51
35.30,62
35.40,52
35.50,40
35.60,63
35.70,46
35.80,59
35.90,47
36.00,40
36.10,55
36.20,53
36.30,53
36.40,45
36.50,57
36.60,61
36.70,62
36.80,53
36.90,43
37.00,67
37.10,71
37.20,59
37.30,59
37.40,58
37.50,63
37.60,69
37.70,55
37.80,67
37.90,55
38.00,52
38.10,50
38.20,58
38.30,51
38.40,55
38.50,53
38.60,44
38.70,53
38.80,39
38.90,54
39.00,61
39.10,61
39.20,56
39.30,50
39.40,56
39.50,50
39.60,54
39.70,45
39.80,43
39.90,51
40.00,57
40.10,67
40.20,61
40.30,58
40.40,56
40.50,50
40.60,44
40.70,44
40.80,40
40.90,39
41.00,52
41.10,51
41.20,46
41.30,54
41.40,51
41.50,49
41.60,48
41.70,68
41.80,46
41.90,41
42.00,55
42.10,54
42.20,56
42.30,57
