time,conjugations
0.00,2
0.10,2
0.20,0
0.30,2
0.40,3
0.50,0
0.60,1
0.70,1
0.80,0
0.90,1
1.00,0
1.10,2
1.20,2
1.30,1
1.40,1
1.50,3
1.60,0
1.70,1
1.80,4
1.90,0
2.00,0
2.10,1
2.20,0
2.30,1
2.40,2
2.50,0
2.60,1
2.70,2
2.80,0
2.90,3
3.00,0
3.10,3
3.20,0
3.30,0
3.40,2
3.50,0
3.60,1
3.70,0
3.80,0
3.90,2
4.00,0
4.10,2
4.20,0
4.30,2
4.40,1
4.50,3
4.60,1
4.70,3
4.80,0
4.90,1
5.00,3
5.10,1
5.20,3
5.30,2
5.40,2
5.50,2
5.60,0
5.70,6
5.80,0
5.90,1
6.00,3
6.10,5
6.20,2
6.30,1
6.40,4
6.50,6
6.60,2
6.70,1
6.80,4
6.90,3
7.00,3
7.10,2
7.20,4
7.30,2
7.40,2
7.50,2
7.60,4
7.70,2
7.80,1
7.90,1
8.00,4
8.10,3
8.20,4
8.30,5
8.40,5
8.50,6
8.60,3
8.70,1
8.80,5
8.90,7
9.00,6
9.10,9
9.20,4
9.30,5
9.40,1
9.50,3
9.60,4
9.70,4
9.80,1
9.90,2
10.00,5
10.10,2
10.20,7
10.30,5
10.40,2
10.50,4
10.60,6
10.70,6
10.80,6
10.90,6
11.00,3
11.10,3
11.20,4
11.30,8
11.40,5
11.50,4
11.60,5
11.70,8
11.80,3
11.90,4
12.00,2
12.10,5
12.20,6
12.30,6
12.40,4
12.50,6
12.60,6
12.70,5
12.80,4
12.90,6
13.00,7
13.10,13
13.20,7
13.30,6
13.40,7
13.50,5
13.60,7
13.70,7
13.80,6
13.90,2
14.00,7
14.10,6
14.20,8
14.30,6
14.40,10
14.50,7
14.60,5
14.70,6
14.80,7
14.90,6
15.00,8
15.10,6
15.20,7
15.30,15
15.40,9
15.50,10
15.60,10
15.70,14
15.80,4
15.90,7
16.00,5
16.10,6
16.20,8
16.30,7
16.40,6
16.50,12
16.60,9
16.70,9
16.80,10
16.90,11
17.00,12
17.10,14
17.20,14
17.30,12
17.40,9
17.50,7
17.60,9
17.70,17
17.80,15
17.90,8
18.00,9
18.10,12
18.20,10
18.30,10
18.40,15
18.50,11
18.60,8
18.70,12
18.80,6
18.90,8
19.00,11
19.10,10
19.20,10
19.30,9
19.40,15
19.50,14
19.60,16
19.70,21
19.80,10
19.90,19
20.00,10
20.10,13
20.20,13
20.30,19
20.40,19
20.50,14
20.60,14
20.70,4
20.80,15
20.90,12
21.00,15
21.10,15
21.20,13
21.30,11
21.40,17
21.50,17
21.60,12
21.70,11
21.80,14
21.90,19
22.00,20
22.10,22
22.20,22
22.30,15
22.40,17
22.50,14
22.60,16
22.70,19
22.80,12
22.90,21
23.00,18
23.10,24
23.20,22
23.30,18
23.40,26
23.50,22
23.60,24
23.70,17
23.80,22
23.90,20
24.00,16
24.10,16
24.20,20
24.30,23
24.40,19
24.50,22
24.60,21
24.70,21
24.80,27
24.90,24
25.00,29
25.10,21
25.20,22
25.30,12
25.40,19
25.50,25
25.60,26
25.70,25
25.80,23
25.90,38
26.00,15
26.10,22
26.20,21
26.30,26
26.40,43
26.50,31
26.60,32
26.70,35
26.80,19
26.90,33
27.00,24
27.10,26
27.20,31
27.30,29
27.40,33
27.50,23
27.60,36
27.70,29
27.80,30
27.90,23
28.00,30
28.10,19
28.20,30
28.30,50
28.40,40
28.50,42
28.60,38
28.70,39
28.80,41
28.90,46
29.00,43
29.10,31
29.20,42
29.30,48
29.40,38
29.50,46
29.60,36
29.70,39
29.80,38
29.90,37
30.00,37
30.10,39
30.20,43
30.30,43
30.40,52
30.50,46
30.60,34
30.70,38
30.80,33
30.90,46
31.00,41
31.10,44
31.20,35
31.30,39
31.40,38
31.50,42
31.60,50
31.70,39
31.80,51
31.90,36
32.00,48
32.10,39
32.20,55
32.30,54
32.40,45
32.50,48
32.60,38
32.70,49
32.80,46
32.90,45
33.00,45
33.10,40
33.20,47
33.30,45
33.40,41
33.50,49
33.60,53
33.70,48
33.80,43
33.90,53
34.00,50
34.10,40
34.20,51
34.30,47
34.40,49
34.50,46
34.60,56
34.70,57
34.80,50
34.90,42
35.00,71
35.10,56
35.20,59
35.30,47
35.40,55
35.50,46
35.60,51
35.70,56
35.80,47
35.90,40
36.00,67
36.10,62
36.20,52
36.30,63
36.40,69
36.50,68
36.60,47
36.70,64
36.80,55
36.90,53
37.00,62
37.10,79
37.20,60
37.30,61
37.40,55
37.50,78
37.60,59
37.70,71
37.80,69
37.90,68
38.00,60
38.10,59
38.20,61
38.30,66
38.40,64
38.50,69
38.60,68
38.70,72
38.80,75
38.90,70
39.00,60
39.10,69
39.20,62
39.30,74
39.40,62
39.50,59
39.60,48
39.70,61
39.80,51
39.90,62
40.00,60
40.10,47
40.20,56
40.30,57
40.40,70
40.50,56
40.60,46
40.70,58
40.80,63
40.90,55
