time,conjugations
0.00,45
0.10,41
0.20,48
0.30,47
0.40,45
0.50,56
0.60,49
0.70,48
0.80,53
0.90,65
1.00,60
1.10,62
1.20,59
1.30,63
1.40,82
1.50,55
1.60,66
1.70,52
1.80,83
1.90,73
2.00,71
2.10,78
2.20,67
2.30,75
2.40,69
2.50,86
2.60,95
2.70,77
2.80,96
2.90,91
3.00,80
3.10,104
3.20,113
3.30,96
3.40,87
3.50,75
3.60,100
3.70,101
3.80,106
3.90,100
4.00,113
4.10,108
4.20,139
4.30,121
4.40,121
4.50,139
4.60,112
4.70,123
4.80,124
4.90,94
5.00,129
5.10,139
5.20,144
5.30,153
5.40,158
5.50,151
5.60,143
5.70,154
5.80,140
5.90,159
6.00,133
6.10,142
6.20,160
6.30,159
6.40,181
6.50,176
6.60,182
6.70,165
6.80,177
6.90,216
7.00,177
7.10,204
7.20,203
7.30,201
7.40,186
7.50,206
7.60,220
7.70,183
7.80,200
7.90,239
8.00,245
8.10,211
8.20,222
8.30,245
8.40,235
8.50,231
8.60,244
8.70,271
8.80,246
8.90,259
9.00,247
9.10,261
9.20,264
9.30,290
9.40,269
9.50,305
9.60,285
9.70,285
9.80,273
9.90,294
10.00,277
10.10,296
10.20,296
10.30,273
10.40,262
10.50,289
10.60,300
10.70,306
10.80,290
10.90,329
11.00,310
11.10,337
11.20,344
11.30,331
11.40,362
11.50,349
11.60,335
11.70,373
11.80,348
11.90,337
12.00,374
12.10,376
12.20,376
12.30,375
12.40,390
12.50,354
12.60,381
12.70,374
12.80,373
12.90,392
13.00,391
13.10,409
13.20,376
13.30,369
13.40,432
13.50,430
13.60,376
13.70,399
13.80,444
13.90,454
14.00,460
14.10,461
14.20,487
14.30,409
14.40,441
14.50,474
14.60,475
14.70,460
14.80,440
14.90,478
15.00,522
15.10,495
15.20,501
15.30,486
15.40,511
15.50,517
15.60,538
15.70,538
15.80,539
15.90,559
16.00,542
16.10,591
16.20,582
16.30,565
16.40,589
16.50,590
16.60,604
16.70,617
16.80,617
16.90,642
17.00,643
17.10,627
17.20,646
17.30,610
17.40,637
17.50,581
17.60,605
17.70,625
17.80,657
17.90,652
18.00,677
18.10,656
18.20,678
18.30,714
18.40,718
18.50,713
18.60,741
18.70,763
18.80,811
18.90,750
19.00,778
19.10,738
19.20,744
19.30,752
19.40,796
19.50,785
19.60,759
19.70,810
19.80,839
19.90,796
20.00,869
20.10,799
20.20,891
20.30,898
20.40,914
20.50,926
20.60,911
20.70,980
20.80,885
20.90,892
21.00,901
21.10,979
21.20,920
21.30,929
21.40,1013
21.50,1006
21.60,973
21.70,999
21.80,1009
21.90,999
22.00,1025
22.10,1004
22.20,1050
22.30,1043
22.40,1063
22.50,1130
22.60,1072
22.70,1111
22.80,1127
22.90,1056
23.00,1118
23.10,1083
23.20,1119
23.30,1108
23.40,1135
23.50,1157
23.60,1166
23.70,1122
23.80,1145
23.90,1126
24.00,1217
24.10,1260
24.20,1235
24.30,1190
24.40,1221
24.50,1244
24.60,1258
24.70,1249
24.80,1269
24.90,1352
25.00,1377
25.10,1341
25.20,1337
25.30,1373
25.40,1371
25.50,1442
25.60,1486
25.70,1414
25.80,1446
25.90,1512
26.00,1477
26.10,1477
26.20,1450
26.30,1549
26.40,1543
26.50,1518
26.60,1604
26.70,1583
26.80,1566
26.90,1594
27.00,1567
27.10,1665
27.20,1714
27.30,1665
27.40,1802
27.50,1687
27.60,1745
27.70,1814
27.80,1775
27.90,1755
28.00,1844
28.10,1776
28.20,1798
28.30,1885
28.40,1929
28.50,1918
28.60,1860
28.70,1898
28.80,1868
28.90,1919
29.00,1910
29.10,1920
29.20,1892
29.30,1925
29.40,1869
29.50,2010
29.60,1965
29.70,1966
29.80,1965
29.90,1916
30.00,1948
30.10,1964
30.20,1918
30.30,1926
30.40,2021
30.50,1957
30.60,1988
30.70,2010
30.80,1938
30.90,2016
31.00,2001
31.10,1957
31.20,2002
31.30,2039
31.40,2017
31.50,2059
31.60,2018
31.70,2013
31.80,2086
31.90,2099
32.00,2049
32.10,2062
32.20,2109
32.30,2050
32.40,2105
32.50,2077
32.60,2109
32.70,2155
32.80,2095
32.90,2132
33.00,2132
33.10,2162
33.20,2034
33.30,2074
33.40,2083
33.50,2134
33.60,2076
33.70,2102
33.80,2073
33.90,2080
34.00,2154
34.10,2160
34.20,2135
34.30,2113
34.40,2147
34.50,2092
34.60,2137
34.70,2114
34.80,2121
34.90,2061
35.00,2064
35.10,2116
35.20,2124
35.30,2066
35.40,2115
35.50,2107
35.60,2138
35.70,2135
35.80,2166
35.90,2107
36.00,2137
36.10,2125
36.20,2222
36.30,2154
36.40,2127
36.50,2146
36.60,2052
36.70,2149
36.80,2129
36.90,2171
37.00,2126
37.10,2191
37.20,2174
37.30,2178
37.40,2191
37.50,2169
37.60,2199
37.70,2150
37.80,2167
37.90,2142
38.00,2167
38.10,2163
38.20,2097
38.30,2160
38.40,2079
38.50,2087
38.60,2123
38.70,2033
38.80,2071
38.90,2064
39.00,2121
39.10,2144
39.20,2057
39.30,2050
39.40,2040
39.50,2062
39.60,2057
39.70,2034
39.80,2048
39.90,2022
40.00,2028
40.10,1975
40.20,2025
40.30,1961
40.40,1955
40.50,1971
40.60,1936
40.70,1950
40.80,1944
40.90,2028
41.00,2031
41.10,1981
41.20,1904
41.30,1967
41.40,1985
41.50,1918
41.60,1927
41.70,1988
41.80,1993
41.90,1941
42.00,1969
42.10,2061
42.20,2021
42.30,1917
42.40,2063
42.50,1966
42.60,2040
42.70,1998
42.80,2068
42.90,2026
43.00,2005
43.10,2035
43.20,2084
43.30,2054
43.40,2048
43.50,2021
43.60,2060
43.70,2114
43.80,2072
43.90,2081
44.00,2024
44.10,2025
44.20,2107
44.30,2139
44.40,2109
44.50,2145
44.60,2113
44.70,2043
44.80,2050
44.90,2048
45.00,2049
45.10,1990
45.20,2125
45.30,2070
45.40,1987
45.50,1994
45.60,1995
45.70,2118
45.80,2012
45.90,1984
46.00,2071
46.10,2080
46.20,2067
46.30,2052
46.40,2057
46.50,2083
46.60,2062
46.70,2013
46.80,2015
46.90,2056
47.00,2058
47.10,1985
47.20,2096
47.30,2101
47.40,2056
47.50,2027
47.60,2088
47.70,2047
47.80,2065
47.90,1986
48.00,2058
48.10,2011
48.20,2009
48.30,2066
48.40,2128
48.50,2053
48.60,1999
48.70,2086
48.80,2099
48.90,2164
49.00,2073
49.10,2138
49.20,2079
49.30,2008
49.40,2052
49.50,2077
49.60,2102
49.70,2063
49.80,2080
49.90,2103
50.00,1997
50.10,2071
50.20,2027
50.30,2118
50.40,2092
50.50,2121
50.60,2059
50.70,2086
50.80,2113
50.90,2083
51.00,2088
51.10,2091
51.20,2111
51.30,2117
51.40,2057
51.50,2103
51.60,2036
51.70,2066
51.80,2029
51.90,2100
52.00,2046
52.10,2051
52.20,1983
52.30,1954
52.40,2036
52.50,1998
52.60,1907
52.70,2012
52.80,1998
52.90,1967
53.00,1986
53.10,1955
53.20,2055
53.30,1982
53.40,1928
53.50,2002
53.60,1923
53.70,2031
53.80,1986
53.90,2017
54.00,2081
54.10,2006
54.20,1986
54.30,2008
54.40,2010
54.50,2029
54.60,2042
54.70,1946
54.80,2112
54.90,2065
55.00,2042
55.10,2101
55.20,2049
55.30,2077
55.40,2106
55.50,2058
55.60,2022
55.70,2106
55.80,2015
55.90,2041
56.00,2052
56.10,2139
56.20,2137
56.30,2170
56.40,2085
56.50,2017
56.60,2004
56.70,2085
56.80,2150
56.90,2053
57.00,2135
57.10,2042
57.20,2148
57.30,2115
57.40,2094
57.50,2052
57.60,2018
57.70,2029
57.80,2037
57.90,2065
58.00,2101
58.10,2120
58.20,2092
58.30,2083
58.40,2041
58.50,2085
58.60,2118
58.70,2061
58.80,2193
58.90,2100
59.00,2162
59.10,2156
59.20,2099
59.30,2082
59.40,2117
59.50,2124
59.60,2100
59.70,2171
59.80,2056
59.90,2056
60.00,2092
