time,conjugations
0.00,192
0.10,203
0.20,222
0.30,257
0.40,240
0.50,227
0.60,249
0.70,240
0.80,204
0.90,238
1.00,236
1.10,239
1.20,223
1.30,249
1.40,249
1.50,267
1.60,304
1.70,299
1.80,268
1.90,250
2.00,303
2.10,304
2.20,313
2.30,340
2.40,306
2.50,307
2.60,318
2.70,318
2.80,341
2.90,371
3.00,386
3.10,386
3.20,367
3.30,384
3.40,408
3.50,404
3.60,425
3.70,446
3.80,445
3.90,459
4.00,441
4.10,434
4.20,477
4.30,488
4.40,471
4.50,486
4.60,510
4.70,492
4.80,518
4.90,535
5.00,581
5.10,599
5.20,606
5.30,542
5.40,570
5.50,594
5.60,598
5.70,598
5.80,582
5.90,611
6.00,616
6.10,622
6.20,590
6.30,636
6.40,602
6.50,617
6.60,591
6.70,589
6.80,652
6.90,666
7.00,647
7.10,706
7.20,697
7.30,720
7.40,695
7.50,703
7.60,725
7.70,762
7.80,727
7.90,765
8.00,777
8.10,796
8.20,761
8.30,734
8.40,789
8.50,819
8.60,884
8.70,848
8.80,832
8.90,845
9.00,822
9.10,833
9.20,854
9.30,840
9.40,818
9.50,856
9.60,840
9.70,870
9.80,928
9.90,934
10.00,886
10.10,884
10.20,904
10.30,927
10.40,946
10.50,1009
10.60,1034
10.70,1029
10.80,1023
10.90,966
11.00,1028
11.10,1029
11.20,992
11.30,1008
11.40,1007
11.50,1086
11.60,1080
11.70,1125
11.80,1122
11.90,1125
12.00,1135
12.10,1144
12.20,1176
12.30,1160
12.40,1149
12.50,1132
12.60,1127
12.70,1183
12.80,1258
12.90,1275
13.00,1296
13.10,1280
13.20,1299
13.30,1294
13.40,1323
13.50,1381
13.60,1405
13.70,1346
13.80,1352
13.90,1366
14.00,1375
14.10,1442
14.20,1472
14.30,1427
14.40,1415
14.50,1521
14.60,1452
14.70,1504
14.80,1516
14.90,1531
15.00,1527
15.10,1531
15.20,1529
15.30,1554
15.40,1592
15.50,1639
15.60,1589
15.70,1629
15.80,1661
15.90,1681
16.00,1642
16.10,1678
16.20,1658
16.30,1720
16.40,1667
16.50,1649
16.60,1597
16.70,1700
16.80,1689
16.90,1698
17.00,1635
17.10,1706
17.20,1706
17.30,1713
17.40,1738
17.50,1689
17.60,1739
17.70,1741
17.80,1713
17.90,1712
18.00,1746
18.10,1705
18.20,1706
18.30,1713
18.40,1711
18.50,1714
18.60,1754
18.70,1762
18.80,1795
18.90,1819
19.00,1748
19.10,1778
19.20,1775
19.30,1779
19.40,1801
19.50,1795
19.60,1779
19.70,1781
19.80,1785
19.90,1748
20.00,1789
20.10,1711
20.20,1710
20.30,1771
20.40,1768
20.50,1854
20.60,1800
20.70,1819
20.80,1786
20.90,1864
21.00,1839
21.10,1852
21.20,1868
21.30,1787
21.40,1803
21.50,1763
21.60,1823
21.70,1830
21.80,1828
21.90,1840
22.00,1857
22.10,1884
22.20,1905
22.30,1897
22.40,1888
22.50,1868
22.60,1845
22.70,1855
22.80,1828
22.90,1844
23.00,1867
23.10,1859
23.20,1847
23.30,1809
23.40,1780
23.50,1790
23.60,1858
23.70,1836
23.80,1794
23.90,1815
24.00,1802
24.10,1820
24.20,1819
24.30,1831
24.40,1850
24.50,1864
24.60,1890
24.70,1869
24.80,1948
24.90,1875
25.00,1883
25.10,1896
25.20,1979
25.30,1942
25.40,1868
25.50,1894
25.60,1882
25.70,1861
25.80,1803
25.90,1857
26.00,1858
26.10,1829
26.20,1838
26.30,1840
26.40,1818
26.50,1841
26.60,1878
26.70,1828
26.80,1807
26.90,1838
27.00,1859
27.10,1799
27.20,1788
27.30,1762
27.40,1772
27.50,1747
27.60,1739
27.70,1756
27.80,1779
27.90,1823
28.00,1798
28.10,1810
28.20,1807
28.30,1809
28.40,1786
28.50,1756
28.60,1809
28.70,1781
28.80,1790
28.90,1830
29.00,1849
29.10,1749
29.20,1759
29.30,1739
29.40,1746
29.50,1756
29.60,1748
29.70,1695
29.80,1741
29.90,1776
30.00,1800
30.10,1767
30.20,1733
30.30,1727
30.40,1766
30.50,1697
30.60,1746
30.70,1745
30.80,1804
30.90,1759
31.00,1758
31.10,1746
31.20,1768
31.30,1753
31.40,1821
31.50,1723
31.60,1762
31.70,1774
31.80,1764
31.90,1776
32.00,1764
32.10,1801
32.20,1816
32.30,1837
32.40,1797
32.50,1777
32.60,1803
32.70,1824
32.80,1823
32.90,1790
33.00,1784
33.10,1778
33.20,1790
33.30,1823
33.40,1842
33.50,1783
33.60,1807
33.70,1805
33.80,1764
33.90,1840
34.00,1821
34.10,1824
34.20,1815
34.30,1807
34.40,1816
34.50,1766
34.60,1787
34.70,1807
34.80,1828
34.90,1842
35.00,1840
35.10,1864
35.20,1817
35.30,1841
35.40,1804
35.50,1805
35.60,1796
35.70,1847
35.80,1907
35.90,1864
36.00,1835
36.10,1824
36.20,1857
36.30,1796
36.40,1811
36.50,1809
36.60,1807
36.70,1905
36.80,1859
36.90,1888
37.00,1864
37.10,1849
37.20,1902
37.30,1909
37.40,1864
37.50,1885
37.60,1823
