time,conjugations
0.00,41
0.10,62
0.20,70
0.30,52
0.40,52
0.50,74
0.60,57
0.70,70
0.80,75
0.90,68
1.00,81
1.10,92
1.20,86
1.30,52
1.40,55
1.50,58
1.60,57
1.70,74
1.80,70
1.90,56
2.00,56
2.10,67
2.20,59
2.30,71
2.40,86
2.50,99
2.60,90
2.70,88
2.80,94
2.90,106
3.00,109
3.10,102
3.20,128
3.30,129
3.40,110
3.50,122
3.60,111
3.70,128
3.80,140
3.90,141
4.00,125
4.10,137
4.20,157
4.30,138
4.40,145
4.50,150
4.60,134
4.70,144
4.80,151
4.90,124
5.00,149
5.10,140
5.20,146
5.30,172
5.40,163
5.50,150
5.60,178
5.70,180
5.80,206
5.90,180
6.00,157
6.10,146
6.20,162
6.30,171
6.40,193
6.50,167
6.60,192
6.70,173
6.80,169
6.90,163
7.00,197
7.10,205
7.20,195
7.30,236
7.40,214
7.50,217
7.60,189
7.70,197
7.80,200
7.90,228
8.00,249
8.10,205
8.20,212
8.30,232
8.40,257
8.50,256
8.60,260
8.70,257
8.80,235
8.90,255
9.00,257
9.10,239
9.20,221
9.30,238
9.40,256
9.50,244
9.60,266
9.70,252
9.80,250
9.90,245
10.00,232
10.10,256
10.20,280
10.30,286
10.40,271
10.50,290
10.60,277
10.70,293
10.80,270
10.90,297
11.00,310
11.10,325
11.20,327
11.30,339
11.40,312
11.50,304
11.60,309
11.70,316
11.80,358
11.90,334
12.00,368
12.10,322
12.20,303
12.30,316
12.40,333
12.50,328
12.60,347
12.70,349
12.80,357
12.90,377
13.00,393
13.10,359
13.20,353
13.30,360
13.40,314
13.50,335
13.60,395
13.70,395
13.80,406
13.90,383
14.00,411
14.10,440
14.20,446
14.30,388
14.40,421
14.50,438
14.60,452
14.70,479
14.80,427
14.90,443
15.00,439
15.10,424
15.20,454
15.30,462
15.40,502
15.50,503
15.60,539
15.70,513
15.80,536
15.90,544
16.00,541
16.10,572
16.20,568
16.30,543
16.40,544
16.50,588
16.60,611
16.70,583
16.80,570
16.90,596
17.00,617
17.10,542
17.20,588
17.30,639
17.40,670
17.50,658
17.60,623
17.70,595
17.80,610
17.90,633
18.00,650
18.10,676
18.20,645
18.30,656
18.40,661
18.50,662
18.60,696
18.70,683
18.80,676
18.90,748
19.00,718
19.10,702
19.20,677
19.30,717
19.40,690
19.50,748
19.60,825
19.70,815
19.80,794
19.90,804
20.00,803
20.10,849
20.20,859
20.30,765
20.40,801
20.50,785
20.60,845
20.70,859
20.80,900
20.90,840
21.00,836
21.10,871
21.20,852
21.30,853
21.40,873
21.50,861
21.60,910
21.70,931
21.80,906
21.90,964
22.00,958
22.10,947
22.20,969
22.30,994
22.40,977
22.50,1009
22.60,1008
22.70,1009
22.80,1004
22.90,967
23.00,1020
23.10,1035
23.20,1068
23.30,1019
23.40,1019
23.50,1102
23.60,1056
23.70,1105
23.80,1098
23.90,1114
24.00,1065
24.10,1074
24.20,1147
24.30,1183
24.40,1208
24.50,1219
24.60,1214
24.70,1207
24.80,1255
24.90,1257
25.00,1208
25.10,1234
25.20,1210
25.30,1248
25.40,1204
25.50,1257
25.60,1271
25.70,1274
25.80,1296
25.90,1284
26.00,1280
26.10,1297
26.20,1378
26.30,1369
26.40,1354
26.50,1372
26.60,1382
26.70,1408
26.80,1448
26.90,1438
27.00,1486
27.10,1442
27.20,1515
27.30,1530
27.40,1557
27.50,1618
27.60,1563
27.70,1610
27.80,1664
27.90,1647
28.00,1618
28.10,1644
28.20,1689
28.30,1649
28.40,1670
28.50,1768
28.60,1743
28.70,1731
28.80,1717
28.90,1724
29.00,1702
29.10,1768
29.20,1828
29.30,1773
29.40,1744
29.50,1749
29.60,1754
29.70,1764
29.80,1734
29.90,1660
30.00,1740
30.10,1688
30.20,1757
30.30,1757
30.40,1770
30.50,1818
30.60,1750
30.70,1728
30.80,1794
30.90,1781
31.00,1719
31.10,1679
31.20,1649
31.30,1641
31.40,1718
31.50,1737
31.60,1756
31.70,1787
31.80,1780
