time,conjugations
0.00,5
0.10,3
0.20,4
0.30,5
0.40,3
0.50,3
0.60,7
0.70,3
0.80,5
0.90,6
1.00,13
1.10,6
1.20,10
1.30,4
1.40,10
1.50,4
1.60,6
1.70,10
1.80,6
1.90,9
2.00,13
2.10,17
2.20,17
2.30,16
2.40,17
2.50,10
2.60,17
2.70,9
2.80,10
2.90,13
3.00,17
3.10,18
3.20,10
3.30,16
3.40,20
3.50,12
3.60,5
3.70,15
3.80,8
3.90,6
4.00,15
4.10,15
4.20,9
4.30,20
4.40,12
4.50,12
4.60,13
4.70,10
4.80,11
4.90,15
5.00,24
5.10,29
5.20,20
5.30,22
5.40,20
5.50,23
5.60,22
5.70,25
5.80,28
5.90,20
6.00,13
6.10,27
6.20,26
6.30,15
6.40,21
6.50,16
6.60,20
6.70,22
6.80,19
6.90,8
7.00,12
7.10,20
7.20,21
7.30,14
7.40,18
7.50,20
7.60,21
7.70,15
7.80,23
7.90,17
8.00,16
8.10,16
8.20,30
8.30,24
8.40,16
8.50,14
8.60,15
8.70,27
8.80,18
8.90,14
9.00,24
9.10,18
9.20,17
9.30,15
9.40,19
9.50,23
9.60,26
9.70,27
9.80,30
9.90,32
10.00,30
10.10,22
10.20,35
10.30,29
10.40,27
10.50,28
10.60,27
10.70,35
10.80,36
10.90,45
11.00,36
11.10,33
11.20,29
11.30,31
11.40,29
11.50,29
11.60,45
11.70,38
11.80,45
11.90,36
12.00,39
12.10,40
12.20,44
12.30,36
12.40,41
12.50,48
12.60,52
12.70,41
12.80,44
12.90,50
13.00,47
13.10,54
13.20,49
13.30,58
13.40,42
13.50,45
13.60,54
13.70,47
13.80,60
13.90,54
14.00,54
14.10,53
14.20,47
14.30,54
14.40,66
14.50,64
14.60,65
14.70,56
14.80,51
14.90,55
15.00,56
15.10,54
15.20,63
15.30,66
15.40,69
15.50,78
15.60,97
15.70,97
15.80,80
15.90,81
16.00,61
16.10,78
16.20,78
16.30,70
16.40,60
16.50,48
16.60,51
16.70,55
16.80,56
16.90,64
17.00,70
17.10,65
17.20,69
17.30,65
17.40,72
17.50,61
17.60,63
17.70,77
17.80,74
17.90,75
18.00,74
18.10,57
18.20,73
18.30,74
18.40,72
18.50,58
18.60,65
18.70,74
18.80,93
18.90,83
19.00,68
19.10,65
19.20,78
19.30,72
19.40,83
19.50,72
19.60,75
19.70,96
19.80,84
19.90,89
20.00,85
20.10,67
20.20,85
20.30,87
20.40,94
20.50,92
20.60,77
20.70,76
20.80,103
20.90,107
21.00,106
21.10,110
21.20,115
21.30,98
21.40,97
21.50,114
21.60,90
21.70,99
21.80,109
21.90,107
22.00,120
22.10,112
22.20,110
22.30,101
22.40,115
22.50,132
22.60,111
22.70,122
22.80,144
22.90,146
23.00,132
23.10,103
23.20,104
23.30,103
23.40,126
23.50,114
23.60,117
23.70,118
23.80,141
23.90,153
24.00,138
24.10,136
24.20,153
24.30,178
24.40,167
24.50,151
24.60,159
24.70,173
24.80,163
24.90,149
25.00,141
25.10,154
25.20,152
25.30,144
25.40,152
25.50,164
25.60,162
25.70,165
25.80,168
25.90,154
26.00,164
26.10,179
26.20,187
26.30,176
26.40,211
26.50,197
26.60,160
26.70,178
26.80,179
26.90,201
27.00,180
27.10,191
27.20,217
27.30,204
27.40,188
27.50,184
27.60,181
27.70,202
27.80,175
27.90,178
28.00,186
28.10,183
28.20,206
28.30,211
28.40,183
28.50,197
28.60,243
28.70,249
28.80,200
28.90,220
29.00,238
29.10,231
29.20,247
29.30,237
29.40,223
29.50,204
29.60,234
29.70,245
29.80,237
29.90,242
30.00,268
30.10,284
30.20,274
30.30,266
30.40,259
30.50,269
30.60,275
30.70,276
30.80,263
30.90,295
31.00,312
31.10,290
31.20,293
31.30,278
31.40,285
31.50,282
31.60,299
31.70,307
31.80,304
31.90,291
32.00,314
32.10,311
32.20,309
32.30,323
32.40,340
32.50,338
32.60,338
32.70,375
32.80,360
32.90,369
33.00,359
33.10,338
33.20,352
33.30,358
33.40,349
33.50,315
33.60,304
33.70,338
33.80,370
33.90,375
34.00,372
34.10,345
34.20,338
34.30,328
34.40,338
34.50,328
34.60,333
34.70,362
34.80,378
34.90,376
35.00,338
35.10,345
35.20,351
35.30,330
35.40,327
35.50,324
35.60,369
35.70,348
35.80,338
35.90,341
36.00,351
36.10,338
36.20,351
36.30,320
36.40,317
36.50,350
36.60,377
36.70,361
36.80,329
36.90,339
37.00,357
37.10,329
37.20,366
37.30,348
37.40,346
37.50,326
37.60,327
37.70,336
37.80,316
37.90,336
38.00,347
38.10,357
38.20,362
38.30,349
38.40,342
38.50,363
38.60,353
38.70,332
38.80,350
38.90,369
39.00,387
39.10,377
39.20,370
39.30,366
39.40,352
39.50,368
39.60,357
39.70,367
39.80,381
39.90,386
40.00,372
40.10,359
40.20,362
40.30,344
40.40,377
40.50,351
40.60,352
40.70,360
40.80,373
40.90,367
41.00,358
41.10,355
41.20,352
41.30,329
41.40,366
41.50,379
41.60,368
41.70,342
41.80,350
41.90,353
42.00,340
42.10,384
42.20,364
42.30,330
42.40,345
42.50,368
42.60,348
42.70,343
42.80,299
42.90,349
43.00,355
43.10,395
43.20,399
43.30,393
43.40,377
43.50,386
43.60,380
43.70,392
43.80,385
43.90,353
44.00,339
44.10,377
44.20,375
44.30,378
44.40,335
44.50,358
44.60,392
44.70,382
44.80,373
44.90,367
45.00,353
45.10,380
45.20,338
45.30,351
45.40,352
45.50,355
45.60,361
45.70,356
45.80,366
45.90,362
46.00,360
46.10,365
46.20,312
46.30,332
46.40,327
46.50,337
46.60,326
46.70,357
46.80,367
46.90,349
47.00,328
47.10,325
47.20,337
47.30,352
47.40,353
47.50,341
47.60,340
47.70,344
47.80,318
47.90,338
48.00,357
48.10,363
48.20,328
48.30,323
48.40,326
48.50,319
48.60,366
48.70,356
48.80,377
48.90,328
49.00,346
49.10,348
49.20,384
49.30,378
49.40,374
49.50,357
49.60,346
49.70,335
49.80,363
49.90,381
50.00,376
50.10,407
50.20,392
50.30,337
50.40,345
50.50,352
50.60,375
50.70,344
50.80,328
50.90,362
51.00,333
51.10,349
51.20,340
51.30,357
51.40,353
51.50,386
51.60,367
51.70,329
51.80,292
51.90,341
52.00,309
52.10,316
52.20,343
52.30,356
52.40,320
52.50,338
52.60,320
