time,conjugations
0.00,123
0.10,141
0.20,132
0.30,136
0.40,105
0.50,107
0.60,119
0.70,128
0.80,131
0.90,137
1.00,116
1.10,121
1.20,134
1.30,159
1.40,161
1.50,127
1.60,119
1.70,148
1.80,137
1.90,178
2.00,162
2.10,162
2.20,189
2.30,200
2.40,191
2.50,198
2.60,212
2.70,200
2.80,260
2.90,214
3.00,227
3.10,209
3.20,219
3.30,224
3.40,206
3.50,222
3.60,242
3.70,261
3.80,263
3.90,267
4.00,272
4.10,264
4.20,272
4.30,296
4.40,280
4.50,247
4.60,268
4.70,320
4.80,297
4.90,261
5.00,337
5.10,333
5.20,349
5.30,350
5.40,345
5.50,368
5.60,371
5.70,355
5.80,366
5.90,351
6.00,325
6.10,377
6.20,391
6.30,401
6.40,383
6.50,367
6.60,402
6.70,424
6.80,408
6.90,429
7.00,423
7.10,428
7.20,466
7.30,432
7.40,437
7.50,401
7.60,447
7.70,445
7.80,464
7.90,450
8.00,455
8.10,459
8.20,492
8.30,509
8.40,451
8.50,469
8.60,497
8.70,497
8.80,500
8.90,513
9.00,550
9.10,556
9.20,549
9.30,546
9.40,540
9.50,546
9.60,592
9.70,569
9.80,596
9.90,588
10.00,589
10.10,615
10.20,629
10.30,602
10.40,629
10.50,639
10.60,633
10.70,657
10.80,663
10.90,639
11.00,676
11.10,681
11.20,703
11.30,669
11.40,709
11.50,771
11.60,705
11.70,630
11.80,705
11.90,715
12.00,732
12.10,735
12.20,616
12.30,709
12.40,730
12.50,749
12.60,738
12.70,752
12.80,782
12.90,780
13.00,793
13.10,810
13.20,840
13.30,847
13.40,836
13.50,901
13.60,889
13.70,853
13.80,847
13.90,849
14.00,880
14.10,919
14.20,952
14.30,882
14.40,910
14.50,909
14.60,927
14.70,972
14.80,971
14.90,975
15.00,1008
15.10,1016
15.20,1027
15.30,1075
15.40,1099
15.50,1064
15.60,1097
15.70,1122
15.80,1072
15.90,1150
16.00,1096
16.10,1134
16.20,1150
16.30,1136
16.40,1109
16.50,1063
16.60,1096
16.70,1095
