time,conjugations
0.00,64
0.10,68
0.20,60
0.30,55
0.40,61
0.50,44
0.60,36
0.70,46
0.80,58
0.90,71
1.00,69
1.10,75
1.20,64
1.30,73
1.40,66
1.50,65
1.60,58
1.70,72
1.80,66
1.90,90
2.00,75
2.10,75
2.20,85
2.30,75
2.40,78
2.50,56
2.60,77
2.70,99
2.80,83
2.90,75
3.00,90
3.10,105
3.20,99
3.30,89
3.40,108
3.50,118
3.60,107
3.70,109
3.80,136
3.90,136
4.00,132
4.10,127
4.20,136
4.30,124
4.40,128
4.50,134
4.60,120
4.70,143
4.80,138
4.90,141
5.00,137
5.10,160
5.20,179
5.30,166
5.40,147
5.50,151
5.60,189
5.70,168
5.80,158
5.90,143
6.00,182
6.10,174
6.20,140
6.30,176
6.40,187
6.50,203
6.60,191
6.70,211
6.80,196
6.90,181
7.00,200
7.10,192
7.20,193
7.30,188
7.40,194
7.50,212
7.60,187
7.70,200
7.80,215
7.90,216
8.00,235
8.10,215
8.20,206
8.30,237
8.40,253
8.50,230
8.60,258
8.70,261
8.80,247
8.90,259
9.00,243
9.10,243
9.20,249
9.30,230
9.40,226
9.50,253
9.60,231
9.70,227
9.80,247
9.90,266
10.00,286
10.10,306
10.20,294
10.30,307
10.40,303
10.50,288
10.60,286
10.70,311
10.80,309
10.90,295
11.00,306
11.10,333
11.20,316
11.30,329
11.40,339
11.50,363
11.60,357
11.70,357
11.80,354
11.90,349
12.00,358
12.10,352
12.20,358
12.30,343
12.40,340
12.50,382
12.60,385
12.70,388
12.80,379
12.90,389
13.00,366
13.10,347
13.20,361
13.30,397
13.40,437
13.50,418
13.60,413
13.70,438
13.80,432
13.90,426
14.00,433
14.10,411
14.20,431
14.30,428
14.40,434
14.50,450
14.60,439
14.70,468
14.80,451
14.90,446
15.00,459
15.10,514
15.20,460
15.30,468
15.40,471
15.50,524
15.60,551
15.70,554
15.80,515
15.90,517
16.00,535
16.10,582
16.20,546
16.30,579
16.40,592
16.50,557
16.60,563
16.70,575
16.80,592
16.90,596
17.00,652
17.10,671
17.20,664
17.30,641
17.40,651
17.50,628
17.60,662
17.70,688
17.80,704
17.90,675
18.00,685
18.10,706
18.20,683
18.30,697
18.40,734
18.50,730
18.60,745
18.70,761
18.80,771
18.90,761
19.00,822
19.10,799
19.20,798
19.30,772
19.40,816
19.50,809
19.60,801
19.70,845
19.80,855
19.90,838
20.00,911
20.10,886
20.20,849
20.30,900
20.40,872
20.50,885
20.60,906
20.70,875
20.80,899
20.90,941
21.00,945
21.10,986
21.20,989
21.30,986
21.40,948
21.50,993
21.60,1006
21.70,975
21.80,1000
21.90,995
22.00,1006
22.10,982
22.20,1023
22.30,1005
22.40,1015
22.50,1007
22.60,1039
22.70,1025
22.80,1028
22.90,1062
23.00,1063
23.10,1083
23.20,1077
23.30,1064
23.40,1104
23.50,1076
23.60,1089
23.70,1084
23.80,1113
23.90,1087
24.00,1090
24.10,1092
24.20,1117
24.30,1096
24.40,1137
24.50,1157
24.60,1196
24.70,1136
24.80,1166
24.90,1242
25.00,1276
25.10,1276
25.20,1264
25.30,1285
25.40,1239
25.50,1317
25.60,1367
25.70,1320
25.80,1337
25.90,1394
26.00,1376
26.10,1319
26.20,1396
26.30,1399
26.40,1400
26.50,1424
26.60,1504
26.70,1458
26.80,1427
26.90,1463
27.00,1447
27.10,1473
27.20,1524
27.30,1568
27.40,1572
27.50,1592
27.60,1647
27.70,1616
27.80,1623
27.90,1615
28.00,1648
28.10,1649
28.20,1716
